City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,usinsk,65.9939,57.5281,272.99,92,62,6.26,RU,1729136050
323,oppdal,62.5943,9.6912,277.44,83,100,8.08,NO,1729136051
324,georgetown,5.4112,100.3354,305.11,66,20,2.57,MY,1729136005
325,ungsang-nodongjagu,42.3578,130.4622,288.29,49,60,2.2,KP,1729136054
326,san agustin de valle fertil,-30.6335,-67.4682,294.01,76,100,2.07,AR,1729136055
327,crowley,30.2141,-92.3746,286.5,38,0,3.75,US,1729136056
328,lorengau,-2.0226,147.2712,301.52,78,57,0.81,PG,1729136057
329,labuan bajo,-8.4964,119.8877,302.46,69,29,2.84,ID,1729135967
330,barra de santo antonio,-9.4047,-35.5072,297.28,84,70,5.47,BR,1729135763
331,kone,-21.0595,164.8658,299.99,59,27,4.2,NC,1729136062
332,shiqian,27.5225,108.2281,293.46,92,98,1.16,CN,1729136063
333,whitehorse,60.7161,-135.0538,274.87,93,100,7.2,CA,1729135883
334,crane,31.3974,-102.3501,288.95,48,0,7.18,US,1729136065
335,ust'-labinsk,45.2125,39.6864,284.52,74,100,1.98,RU,1729136067
336,tupiza,-21.45,-65.7167,284.92,58,65,1.35,BO,1729136069
337,khadan khak,30.7477,67.7085,293.15,19,0,3.06,PK,1729136072
338,laguna,38.421,-121.4238,293.23,70,0,2.06,US,1729136073
339,kurumkan,54.3,110.3,270.72,59,59,7.01,RU,1729136074
340,lodja,-3.4833,23.4333,292.99,99,45,0.67,CD,1729136075
341,hermanus,-34.4187,19.2345,288.04,92,31,4.96,ZA,1729136076
342,canto do buriti,-8.11,-42.9444,298.54,61,21,1.12,BR,1729136078
343,illizi,26.4833,8.4667,300.66,25,5,3.69,DZ,1729136079
344,manggar,-2.8833,108.2667,303.88,61,39,4.77,ID,1729136080
345,ierapetra,35.01,25.7353,294.01,62,25,9.23,GR,1729136081
346,puerto san jose,13.9256,-90.8244,299.44,84,0,1.71,GT,1729136082
347,uglegorsk,49.0833,142.0333,281.82,50,73,6.8,RU,1729136085
348,cheremukhovo,60.3484,59.9851,275.12,78,99,0.73,RU,1729136086
349,danielskuil,-28.1887,23.5395,289.71,56,31,8.73,ZA,1729136087
350,perry,37.2506,-83.1999,275.53,82,6,0.5,US,1729136088
351,plessisville,46.2186,-71.762,272.3,87,2,1.92,CA,1729136089
352,coquimbo,-29.9533,-71.3436,284.0,93,0,3.09,CL,1729136091
353,tomatlan,19.9333,-105.25,297.37,96,2,1.23,MX,1729136092
354,dodoma,-6.1722,35.7395,292.18,75,93,4.43,TZ,1729136093
355,san fernando de apure,7.8878,-67.4724,297.97,79,39,0.93,VE,1729136096
356,kavieng,-2.5744,150.7967,302.2,73,73,2.16,PG,1729136097
357,mukalla,14.5425,49.1242,302.89,53,76,0.27,YE,1729135865
358,la rinconada,37.4873,-5.9826,288.74,94,20,0.45,ES,1729136099
359,pyinmana,19.7333,96.2167,302.26,75,96,1.57,MM,1729136101
360,monte aprazivel,-20.7725,-49.7142,297.79,63,70,2.64,BR,1729136102
361,santa elena de uairen,4.6167,-61.1333,292.18,91,85,1.45,VE,1729136103
362,al jawf,29.5,38.75,292.53,71,0,3.94,SA,1729136104
